title,canonical_name,cuisine,score,version_rank,total_versions,ingredients_count,steps_count
仙草烧芋圆,仙草烧芋圆,闽菜,0.72,1,1,5,9
红糟焖猪蹄,红糟焖猪蹄,闽菜,0.900625,1,1,8,16
潮汕炒薄壳,潮汕炒薄壳,闽菜,0.5974999999999999,1,1,4,4
厦门的“姜母鸭”,厦门的“姜母鸭”,闽菜,0.7749999999999999,1,1,8,5
西天尾扁食,西天尾扁食,闽菜,0.675,1,1,5,3
醉排骨,醉排骨,闽菜,0.73,1,1,8,8
多彩芋圆,多彩芋圆,闽菜,0.7350000000000001,1,1,6,11
河蚬汤,河蚬汤,闽菜,0.455,1,1,3,3
麦糕煎,麦糕煎,闽菜,0.47000000000000003,1,1,3,3
潮汕鲎粿,潮汕鲎粿,闽菜,0.686875,1,1,8,8
五香卷,五香卷,闽菜,0.5800000000000001,1,1,10,19
油饼,油饼,闽菜,0.56,1,1,6,21
炒米粉,炒米粉,闽菜,0.5800000000000001,1,1,8,8
沙县荠菜,沙县荠菜,闽菜,0.47374999999999995,1,1,4,3
茯苓糕,茯苓糕,闽菜,0.6100000000000001,1,1,8,14
二十九鱼丸走,二十九鱼丸走,闽菜,0.615,1,1,7,8
沙县拌面,沙县拌面,闽菜,0.6600000000000001,1,1,5,9
素炒螺蛳粉,素炒螺蛳粉,闽菜,0.6775,1,1,10,9
醋肉,醋肉,闽菜,0.63,1,1,5,8
豆豉蒸排骨,豆豉蒸排骨,闽菜,0.6675,1,1,6,9
黄米糕,黄米糕,闽菜,0.48,1,1,6,10
土笋冻,土笋冻,闽菜,0.56,1,1,3,5
潮汕蚝烙,潮汕蚝烙,闽菜,0.6578571428571429,1,1,7,7
海蛎煎,海蛎煎,闽菜,0.515,1,1,4,7
银耳川鸭,银耳川鸭,闽菜,0.7206250000000001,1,1,8,5
客家萝卜丸子,客家萝卜丸子,闽菜,0.5825,1,1,4,3
午餐肉螺蛳粉,午餐肉螺蛳粉,闽菜,0.5950000000000001,1,1,3,10
山药肉骨茶,山药肉骨茶,闽菜,0.6642857142857144,1,1,7,7
花甲瘦肉汤,花甲瘦肉汤,闽菜,0.46499999999999997,1,1,5,4
椰青西米露,椰青西米露,闽菜,0.6162500000000001,1,1,4,6
酸辣螺蛳粉,酸辣螺蛳粉,闽菜,0.665,1,1,4,16
牛肉丸火锅,牛肉丸火锅,闽菜,0.685,1,1,10,6
福清紫菜饼,福清紫菜饼,闽菜,0.79,1,1,8,10
客家特色沙茶焖猪手,客家特色沙茶焖猪手,闽菜,0.71,1,1,4,4
油焖大虾,油焖大虾,鲁菜,0.85,1,12,21,3
油焖大虾,油焖大虾,鲁菜,0.8049999999999999,2,12,8,10
葱烧海参,葱烧海参,鲁菜,0.8075,1,3,12,12
葱烧海参,葱烧海参,鲁菜,0.68,2,3,4,4
木须肉片,木须肉,鲁菜,0.8200000000000001,1,6,14,15
木须肉,木须肉,鲁菜,0.8200000000000001,2,6,12,10
糖醋里脊,糖醋里脊,鲁菜,0.7837500000000001,1,11,12,4
糖醋里脊,糖醋里脊,鲁菜,0.7450000000000001,2,11,9,13
把子肉,把子肉,鲁菜,0.7219230769230769,1,2,13,12
把子肉,把子肉,鲁菜,0.6892857142857143,2,2,14,8
菠萝咕咾肉,菠萝咕咾肉,鲁菜,0.835,1,1,16,10
葱爆羊肉,葱爆羊肉,鲁菜,0.705,1,2,5,7
葱爆羊肉,葱爆羊肉,鲁菜,0.5957142857142858,2,2,7,8
四喜丸子,四喜丸子,鲁菜,0.7253124999999999,1,1,16,9
德州扒鸡,德州扒鸡,鲁菜,0.7028571428571428,1,1,7,7
坛子肉,坛子肉,鲁菜,0.72,1,1,6,4
锅塌豆腐,锅塌豆腐,鲁菜,0.67,1,4,8,8
锅塌豆腐,锅塌豆腐,鲁菜,0.6249999999999999,2,4,9,3
茄汁糖醋鱼,茄汁糖醋鱼,鲁菜,0.8049999999999999,1,1,10,7
香酥鸡,香酥鸡,鲁菜,0.465,1,1,6,4
炒苜蓿肉,炒苜蓿肉,鲁菜,0.8274999999999999,1,1,10,11
油爆大虾,油爆大虾,鲁菜,0.8185714285714285,1,1,7,8
红烧大虾,红烧大虾,鲁菜,0.6900000000000001,1,1,6,12
糖醋鱼,糖醋鱼,鲁菜,0.6590909090909091,1,2,11,6
糖醋鱼,糖醋鱼,鲁菜,0.589375,2,2,8,8
金汤海参,金汤海参,鲁菜,0.55625,1,1,4,7
乳山喜饼,乳山喜饼,鲁菜,0.66,1,1,5,10
葱爆海参,葱爆海参,鲁菜,0.645,1,1,5,10
本色蒸狮子头,本色蒸狮子头,鲁菜,0.64375,1,1,8,9
芙蓉虾仁,芙蓉虾仁,鲁菜,0.544375,1,1,8,10
溜肝尖,溜肝尖,鲁菜,0.6931818181818182,1,1,11,12
宫保鸡丁,宫保鸡丁,鲁菜,0.845,1,1,15,12
酱爆小鲍鱼,酱爆小鲍鱼,鲁菜,0.6150000000000001,1,1,7,6
韭菜水焖蛋,韭菜水焖蛋,鲁菜,0.6300000000000001,1,1,5,9
醋溜土豆丝,醋溜土豆丝,鲁菜,0.72,1,1,5,7
醋溜白菜,醋溜白菜,鲁菜,0.6683333333333333,1,2,9,8
醋溜白菜,醋溜白菜,鲁菜,0.645,2,2,7,7
美味南煎丸子,美味南煎丸子,鲁菜,0.75875,1,1,12,15
酱爆鸡丁,酱爆鸡丁,鲁菜,0.6931818181818181,1,1,11,12
卷三丝,卷三丝,鲁菜,0.51,1,1,5,11
麻辣九转大肠,麻辣九转大肠,鲁菜,0.6357142857142858,1,1,14,7
河南变蛋,河南变蛋,鲁菜,0.545,1,1,3,7
蓑衣黄瓜,蓑衣黄瓜,鲁菜,0.6125,1,1,4,7
