title,canonical_name,cuisine,score,version_rank,total_versions,ingredients_count,steps_count
毛豆腐,毛豆腐,徽菜,0.62,1,1,3,9
葫芦膜膜,葫芦膜膜,徽菜,0.5800000000000001,1,1,3,4
肉丝酸菜炒秀珍菇,肉丝酸菜炒秀珍菇,徽菜,0.5700000000000001,1,1,5,8
圆素鸡烧龙骨,圆素鸡烧龙骨,徽菜,0.6214285714285714,1,1,7,12
香煎虾饼,香煎虾饼,徽菜,0.7150000000000001,1,1,8,5
家常红烧肉,家常红烧肉,徽菜,0.6399999999999999,1,1,10,10
清明果,清明果,徽菜,0.4775,1,1,4,11
红烧划水,红烧划水,徽菜,0.6625000000000001,1,1,10,11
椒盐鱼柳,椒盐鱼柳,徽菜,0.68,1,1,3,5
粢饭包油条,粢饭包油条,徽菜,0.6050000000000001,1,1,6,6
香菇板栗烧子鸡,香菇板栗烧子鸡,徽菜,0.8176923076923077,1,1,13,12
红烧石蛙,红烧石蛙,徽菜,0.655,1,1,13,5
椒盐蘑菇,椒盐蘑菇,徽菜,0.605,1,1,3,5
干锅啤酒鸭,干锅啤酒鸭,徽菜,0.73,1,1,8,10
干贝蒸萝卜,干贝蒸萝卜,徽菜,0.6,1,1,7,9
香菇卤豆干,香菇卤豆干,徽菜,0.5299999999999999,1,1,4,6
拔丝芋头,拔丝芋头,徽菜,0.6799999999999999,1,2,3,9
拔丝芋头,拔丝芋头,徽菜,0.6499999999999999,2,2,3,5
全家福汤,全家福汤,徽菜,0.6300000000000001,1,1,5,11
翡翠虾仁,翡翠虾仁,徽菜,0.5825,1,1,4,6
土豆老鸭汤,土豆老鸭汤,徽菜,0.54,1,1,7,9
酱香琵琶腿卤蛋,酱香琵琶腿卤蛋,徽菜,0.6399999999999999,1,1,10,10
酱汁面筋包肉,酱汁面筋包肉,徽菜,0.6175,1,1,10,11
春笋炒年糕,春笋炒年糕,浙菜,0.6425,1,1,4,10
避风塘酥脆虾,避风塘酥脆虾,浙菜,0.7000000000000001,1,1,10,13
拍黄瓜,拍黄瓜,浙菜,0.44999999999999996,1,1,5,4
酸辣柠檬大虾,酸辣柠檬大虾,浙菜,0.8049999999999999,1,1,14,9
虾味球冬瓜三色芝士年糕,虾味球冬瓜三色芝士年糕,浙菜,0.6749999999999999,1,1,5,6
炸响铃,炸响铃,浙菜,0.55375,1,1,8,11
鸡蛋青菜炒年糕,鸡蛋青菜炒年糕,浙菜,0.7225,1,1,6,10
擂灰圆,擂灰圆,浙菜,0.5249999999999999,1,1,5,8
年糕炒香肠,年糕炒香肠,浙菜,0.7525000000000001,1,1,8,8
田螺塞肉,田螺塞肉,浙菜,0.7987500000000001,1,1,12,7
鲮鱼饼虾仁汤年糕,鲮鱼饼虾仁汤年糕,浙菜,0.63,1,1,5,8
排骨萝卜汤年糕,排骨萝卜汤年糕,浙菜,0.5449999999999999,1,1,3,4
龙井虾仁,龙井虾仁,浙菜,0.5299999999999999,1,1,4,5
包心菜鸡腿煮年糕,包心菜鸡腿煮年糕,浙菜,0.735,1,1,5,8
银耳红薯花色年糕,银耳红薯花色年糕,浙菜,0.74,1,1,4,8
家乡咸汤圆,家乡咸汤圆,浙菜,0.7685714285714287,1,1,14,23
鸡翅炖年糕,鸡翅炖年糕,浙菜,0.7695454545454545,1,1,11,10
炒年糕,炒年糕,浙菜,0.8049999999999999,1,1,10,8
蒜爆目鱼花,蒜爆目鱼花,浙菜,0.6900000000000001,1,1,5,11
桂花年糕,桂花年糕,浙菜,0.6849999999999999,1,1,3,6
温州松糕,温州松糕,浙菜,0.6599999999999999,1,1,5,11
酱鸭,酱鸭,浙菜,0.655,1,1,10,5
咸菜榨菜丝粢饭团,咸菜榨菜丝粢饭团,浙菜,0.6125,1,1,4,7
毛豆烧素记,毛豆烧素记,浙菜,0.555,1,1,6,8
油焖春笋,油焖春笋,浙菜,0.7262500000000001,1,2,8,6
油焖春笋,油焖春笋,浙菜,0.50375,2,2,4,6
避风塘炒虾,避风塘炒虾,浙菜,0.7050000000000001,1,1,6,12
鸭子煲,鸭子煲,浙菜,0.6,1,1,7,5
粢饭团,粢饭团,浙菜,0.525,1,1,5,6
宁波鳗鲞,宁波鳗鲞,浙菜,0.585,1,1,3,8
葱油拌面,葱油拌面,浙菜,0.59375,1,1,4,8
糖醋排骨,糖醋排骨,浙菜,0.8831578947368421,1,1,19,20
豆沙八宝饭,豆沙八宝饭,浙菜,0.555,1,1,7,12
草头圈子,草头圈子,浙菜,0.8183333333333334,1,1,9,10
梅干菜烧肉,梅干菜烧肉,浙菜,0.6799999999999999,1,1,6,10
衢州烤饼,衢州烤饼,浙菜,0.58625,1,1,4,6
牛腩烧土豆和胡萝卜,牛腩烧土豆和胡萝卜,浙菜,0.695,1,1,15,18
肉末雪菜年糕,肉末雪菜年糕,浙菜,0.6575,1,1,6,8
鸡蛋麻糍,鸡蛋麻糍,浙菜,0.6300000000000001,1,1,5,7
斩鱼圆,斩鱼圆,浙菜,0.745,1,1,9,9
扬州干丝炒肉丝,扬州干丝炒肉丝,浙菜,0.7525,1,1,10,16
蘸汁毛蛤,蘸汁毛蛤,浙菜,0.6200000000000001,1,1,4,10
红烧冬瓜,红烧冬瓜,浙菜,0.7374999999999999,1,1,6,5
笋干炖肉,笋干炖肉,浙菜,0.5807142857142857,1,1,7,6
鸡翅根炖鲍鱼,鸡翅根炖鲍鱼,浙菜,0.7925,1,1,12,13
